post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,reaction_count
lFAyVVbc-OI,https://www.youtube.com/watch?v=lFAyVVbc-OI,"Best Magic Trick Wins $1,000!",1748330038,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,https://www.youtube.com/channel/UClQ3NafOy_42dJ0toK3QUKw,"12,800,411"
ao-FXd5iTI4,https://www.youtube.com/watch?v=ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,1726211638,UCeBWh-0p7vgBeD6HOHBpfwQ,Top 10 Talent,https://www.youtube.com/channel/UCeBWh-0p7vgBeD6HOHBpfwQ,"342,615"
Qtb11P1FWnc,https://www.youtube.com/watch?v=Qtb11P1FWnc,Coldplay - Magic (Official Video),1402643638,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"244,277,769"
9ytiyD_QA2s,https://www.youtube.com/watch?v=9ytiyD_QA2s,magic,1749539638,UCROYT8xXAjDM25hjSNMny2Q,Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q,"5,401,863"
vY7mHqFi_Kk,https://www.youtube.com/watch?v=vY7mHqFi_Kk,Future - Magic ft. T.I.,1339571638,UCSDvKdIQOwTfcyOimSi9oYA,Future,https://www.youtube.com/channel/UCSDvKdIQOwTfcyOimSi9oYA,"33,443,667"
uua-9WFghbc,https://www.youtube.com/watch?v=uua-9WFghbc,Eden Choi's IMPOSSIBLE magic will have you questioning EVERYTHING! | Auditions | BGT 2025,1744355638,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,https://www.youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,"3,459,014"
tt4cR9szMS8,https://www.youtube.com/watch?v=tt4cR9szMS8,America - You Can Do Magic,1591859638,UCE-I7YO3WHKGpqMTWWHDWSg,America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg,"60,645,831"
x5YP_oLcgpg,https://www.youtube.com/watch?v=x5YP_oLcgpg,MAGIC! - Let Your Hair Down (Official Video),1434179638,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"59,984,955"
1PvBc2TOpE4,https://www.youtube.com/watch?v=1PvBc2TOpE4,Coldplay - Magic (Official Audio),1402643638,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"63,125,221"
DnkHf069fvA,https://www.youtube.com/watch?v=DnkHf069fvA,Olivia Newton-John - Magic,1276499638,UC4KfZeX3qk--zTKXDP2X3JQ,Ignazio Deddu,https://www.youtube.com/channel/UC4KfZeX3qk--zTKXDP2X3JQ,"14,168,336"
zJubkL44ei0,https://www.youtube.com/watch?v=zJubkL44ei0,Even More AWESOME NEW Disneyland 70th Anniversary Food! |Disneyland Resort 2025,1749492838,UCq_88QrBgrNgaeIkJZBC8SQ,Magic Journeys,https://www.youtube.com/channel/UCq_88QrBgrNgaeIkJZBC8SQ,"28,783"
Cq-NShfefks,https://www.youtube.com/watch?v=Cq-NShfefks,B.o.B - Magic (feat. Rivers Cuomo) [Official Video],1308035638,UCpuvu8mrEO4jxjT6sRwE8tg,B.o.B,https://www.youtube.com/channel/UCpuvu8mrEO4jxjT6sRwE8tg,"61,592,131"
HLEZYcpoIN4,https://www.youtube.com/watch?v=HLEZYcpoIN4,KOUZ1 - Magic (Official video lyrics),1654931638,UC34Z3KmZ-qH8e0wtKSl016A,KOUZ1,https://www.youtube.com/channel/UC34Z3KmZ-qH8e0wtKSl016A,"78,744,693"
QGeaD52guSA,https://www.youtube.com/watch?v=QGeaD52guSA,I was wrong about this trick 😧 (true magic?),1686467638,UCeeHYKSxJPk0Hv2v-LLTdmg,Oscar Owen Magic,https://www.youtube.com/channel/UCeeHYKSxJPk0Hv2v-LLTdmg,"60,724,887"
DbP3f_a1s0s,https://www.youtube.com/watch?v=DbP3f_a1s0s,Magic,1749539638,UCuHyAQrWCAT4jWnymKtgWrA,Charlie Wilson,https://www.youtube.com/channel/UCuHyAQrWCAT4jWnymKtgWrA,"18,778,297"
