post_id,post_url,post_text,post_views,post_time,profile_id,profile_name,profile_url
49x242AfXPI,https://www.youtube.com/watch?v=49x242AfXPI,Ignis vs Defender vs Thar vs Fortuner #shorts #swift #brezza #ignis #marutisuzuki #maruti #suzuki,57407,1742453913,UC6QMa4CQUAbGpE6rOtxjqVQ,Viren Kaliraman,https://www.youtube.com/channel/UC6QMa4CQUAbGpE6rOtxjqVQ
yBWT3aLaDdo,https://www.youtube.com/watch?v=yBWT3aLaDdo,Maruti Suzuki Swift VDI Model of 2014 || Mo : 7777951707 || #car #verna #swift,198672,1718693913,UCWfsU3CE1TQEaFSLrOitd3g,morlivara_auto_car,https://www.youtube.com/channel/UCWfsU3CE1TQEaFSLrOitd3g
7-ZT1FrU_k0,https://www.youtube.com/watch?v=7-ZT1FrU_k0,Maruti suzuki swift over the years #swift #car #shorts #shortvideo #marutisuzuki,6500,1745045913,UCOKPUcyUrkAlkogWCFLZpAg,Centy Model Toys,https://www.youtube.com/channel/UCOKPUcyUrkAlkogWCFLZpAg
-5D6TKBXryI,https://www.youtube.com/watch?v=-5D6TKBXryI,"New Swift Fully Modified, Maruti Suzuki Swift Modification #marutisuzuki #swift #shorts #ytshorts",890687,1687157913,UChH5Px-2iEE6VhQbfront-g,Aryan Roy Vlogs,https://www.youtube.com/channel/UChH5Px-2iEE6VhQbfront-g
JK70XP1A0oM,https://www.youtube.com/watch?v=JK70XP1A0oM,VEMOTO™ 2.0 High-End Car Center Armrest | Swift VXI #cars #swift #armrest,16318,1742453913,UC7uSXg91W00PrqjtVeQA4XQ,Dhanya’S Diary,https://www.youtube.com/channel/UC7uSXg91W00PrqjtVeQA4XQ
qA-N3ge-EM0,https://www.youtube.com/watch?v=qA-N3ge-EM0,Swift racing stripes wrapping #shorts #car #carlover #swift #modified #racing #stripes #wrapping,7621,1732085913,UCgluRLG4YzZ7uMf59xSYbsg,rwraps,https://www.youtube.com/channel/UCgluRLG4YzZ7uMf59xSYbsg
y6bwxCyVFtI,https://www.youtube.com/watch?v=y6bwxCyVFtI,Swift 2024 Lxi Variant With Basic kit ✅ #swift #marutisuzukiswift #swiftlover #swiftfacelift #cars,155687,1718693913,UCpQ2MLBvF2pCUVoMfbDeL0A,Annu chaudhary Vlogs,https://www.youtube.com/channel/UCpQ2MLBvF2pCUVoMfbDeL0A
vru_F48CFRI,https://www.youtube.com/watch?v=vru_F48CFRI,Get yourself a Taylor Swift piano at 35% off on our bio! ❤️ or here 👉 swiftiemelody.com #swift,1494992,1724309913,UCNqykmKN5Rf67mulESPN_aQ,Swift Canvas,https://www.youtube.com/channel/UCNqykmKN5Rf67mulESPN_aQ
Gqpt3LvCPss,https://www.youtube.com/watch?v=Gqpt3LvCPss,New Maruti Suzuki Swift 2025 🖤 Black Colour #shorts #swift #newcar #cars #blackswift #youtube #new,194891,1742453913,UCb-TR_pvKXDidWJemHejqvw,The Car Show,https://www.youtube.com/channel/UCb-TR_pvKXDidWJemHejqvw
o8m9sUWfPEI,https://www.youtube.com/watch?v=o8m9sUWfPEI,swift zxi plus dual tone #swift #swiftzxi #redswift #swifttopmodle #marutisuzuki,71187,1729493913,UClkEGZP5UBrBC3CTKCUU6fA,Sunil Jangid,https://www.youtube.com/channel/UClkEGZP5UBrBC3CTKCUU6fA
p0I1g-_uZ88,https://www.youtube.com/watch?v=p0I1g-_uZ88,"""We the SWIFT"" - Ruled the segment!! 2nd Gen SWIFT is the GOAT - Prove me wrong #swift #suzukiswift",273712,1737269913,UCZLBtPp0XzZZNDECYpi5n_A,RevLimits,https://www.youtube.com/channel/UCZLBtPp0XzZZNDECYpi5n_A
r68Ne_gPn14,https://www.youtube.com/watch?v=r68Ne_gPn14,Swift Modified black🖤 #shorts #swift #modified #black,809706,1718693913,UCfDJsJmQZvGcLhaxE8TzT9w,Aaryan sharma,https://www.youtube.com/channel/UCfDJsJmQZvGcLhaxE8TzT9w
_E_qTdyUAIE,https://www.youtube.com/watch?v=_E_qTdyUAIE,Swift Vxi to Zxi convert 🔥 #swift #caraccessories #karolbagh #dailyshorts #youtubeshorts,1453300,1718693913,UCpQ2MLBvF2pCUVoMfbDeL0A,Annu chaudhary Vlogs,https://www.youtube.com/channel/UCpQ2MLBvF2pCUVoMfbDeL0A
3AWsLJLfcj4,https://www.youtube.com/watch?v=3AWsLJLfcj4,Swift Modified 😍🔥 #swift #swiftlover #ytshorts #shorts,132555,1734677913,UCpQ2MLBvF2pCUVoMfbDeL0A,Annu chaudhary Vlogs,https://www.youtube.com/channel/UCpQ2MLBvF2pCUVoMfbDeL0A
hJ_X9E26Z1Q,https://www.youtube.com/watch?v=hJ_X9E26Z1Q,Swift Red Colour Amezing look Guys_#virelshorts #marutiswift #swift #swift2024 #yadavgarage,30309,1726901913,UCVskghP3XmfAtb6BqLS9pFQ,Yadav Garage,https://www.youtube.com/channel/UCVskghP3XmfAtb6BqLS9pFQ
mk6QrEss6Qk,https://www.youtube.com/watch?v=mk6QrEss6Qk,The fourth- gen swift is here - here's how it stack up against the third-gen Swift| #newswift2024,1160796,1718693913,UCCgnyQCSamkE5cHi7QDevXA,studies care,https://www.youtube.com/channel/UCCgnyQCSamkE5cHi7QDevXA
