post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,post_views
2r43trL5xdk,https://www.youtube.com/shorts/2r43trL5xdk,NO WAY 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3200000
jY8V2wHmKLw,https://www.youtube.com/shorts/jY8V2wHmKLw,uh oh… 🙄 head over to my ig for more! #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,7400000
VBJhbPXJsJM,https://www.youtube.com/shorts/VBJhbPXJsJM,NO WAY😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,6100000
W_ZarR8T8uA,https://www.youtube.com/shorts/W_ZarR8T8uA,HE’S BACK! #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2800000
UH6Zj-4WuRk,https://www.youtube.com/shorts/UH6Zj-4WuRk,The night routine.  #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2700000
A0-b-pP-tnY,https://www.youtube.com/shorts/A0-b-pP-tnY,DADDY……? @jepitot_03  #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1200000
P5K9AguvOdY,https://www.youtube.com/shorts/P5K9AguvOdY,Oh my… #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,7100000
PvfdI2-HSZs,https://www.youtube.com/shorts/PvfdI2-HSZs,NO WAY 😭 head over to my ig for more! #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3400000
5LWHOgtb1NE,https://www.youtube.com/shorts/5LWHOgtb1NE,wait for it 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3600000
yXwLU2JkTJ4,https://www.youtube.com/shorts/yXwLU2JkTJ4,wait for it 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,16000000
awHUqMB-3YA,https://www.youtube.com/shorts/awHUqMB-3YA,this took SO long😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,15000000
83MRAXGer2Q,https://www.youtube.com/shorts/83MRAXGer2Q,this took us SO long to film 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1600000
8YJiVHfEbEY,https://www.youtube.com/shorts/8YJiVHfEbEY,this took SO long 😭#Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,6900000
p4T-cl248bk,https://www.youtube.com/shorts/p4T-cl248bk,Thank you for understanding ❤️ #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,21000000
eYD_iRQvpnw,https://www.youtube.com/shorts/eYD_iRQvpnw,NO WAY 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,14000000
bJe9B9kng0w,https://www.youtube.com/shorts/bJe9B9kng0w,wait for it 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,3900000
olfWHl_yeZI,https://www.youtube.com/shorts/olfWHl_yeZI,WHAT. WAS. THAT. 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5600000
6ZQk8lf54wM,https://www.youtube.com/shorts/6ZQk8lf54wM,Mom is the real MVP #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2800000
_hhLwvOrM7w,https://www.youtube.com/shorts/_hhLwvOrM7w,The end? BTS on lG 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,8500000
tVR8d2navTg,https://www.youtube.com/shorts/tVR8d2navTg,this took us SO long 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5700000
5lzenv1rUHQ,https://www.youtube.com/shorts/5lzenv1rUHQ,head over to my ig for more! #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,8000000
sV5jkCw151c,https://www.youtube.com/shorts/sV5jkCw151c,Can you tell why? 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,4300000
62WRQLvlIa4,https://www.youtube.com/shorts/62WRQLvlIa4,wait for it 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2600000
3krenueNLSk,https://www.youtube.com/shorts/3krenueNLSk,How long did you last? 🤣 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,11000000
irDZMXjj6rY,https://www.youtube.com/shorts/irDZMXjj6rY,This took SO long 🤣😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,10000000
