video_id,title,thumbnail,view_count,description,live_status
UEdWk1rf9qs,Citizen TV Live,https://i.ytimg.com/vi/UEdWk1rf9qs/hqdefault.jpg?v=682e42f7&sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCmnvQ7sz2hrScH4j8VVntFfBZuOg,"6,871  watching",#CitizenTV #citizendigital,LIVE
SeFBIEf0zBE,Citizen TV Live,https://i.ytimg.com/vi/SeFBIEf0zBE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDVZLSllpfnU664w8Ef1W5lV-QEUA,0 views,#CitizenTV #citizendigital,Not Live
-QnZY2mcb-g,Funeral of the late Benard Ndung'u Njenga,https://i.ytimg.com/vi/-QnZY2mcb-g/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAU5pmpImo2hwpWtPvkv7wl9tGnWQ,0 views,1948-2025,Not Live
yxOQzsB54Jc,CitizenTV Live: The Launch of  Dr. Frank Njenga's autobiography,https://i.ytimg.com/vi/yxOQzsB54Jc/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGE4gUihlMA8=&rs=AOn4CLCReQuT0pCM9ddT6TioJZPJzRbFpg,0 views,#MentalHealthAwarenessMonth #MentalHealthKenya,Not Live
du1t6O9eMDs,CitizenTV Live: The Launch of  Dr. Frank Njenga's autobiography,https://i.ytimg.com/vi/du1t6O9eMDs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCj4BZ04QlpYx3JmEsduoiaVtkQ0g,0 views,#MentalHealthAwarenessMonth #MentalHealthKenya,Not Live
AiJkLsOAPZQ,Former DP Gachagua hosts opposition leaders in his Wamunyoro home in Nyeri,https://i.ytimg.com/vi/AiJkLsOAPZQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDF9P9Ra_bJO6Vi7oLwNJDJv_ajFg,0 views,,Not Live
dSzect48sPI,FUNERAL SERVICE FOR COL. (RTD) JAMES NGUYO GITAHI,https://i.ytimg.com/vi/dSzect48sPI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH0BIAC4AOKAgwIABABGFAgZSgiMA8=&rs=AOn4CLA42iUNV-62haGJsSeuhUZM20IdrQ,0 views,1958 - 2025,Not Live
FzfD-R5HM6k,CitizenTV Live: FUNERAL SERVICE FOR COL. (RTD) JAMES NGUYO GITAHI,https://i.ytimg.com/vi/FzfD-R5HM6k/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDLlZMjAr3dFhyv84pYe1l-Utx4SQ,0 views,1958 - 2025,Not Live
yS9XTaU_274,CitizenTV Live: A Letter from America,https://i.ytimg.com/vi/yS9XTaU_274/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDzPtKii4ZUoFNx0NcE_WYZBVP1Pg,0 views,Chiromo Hospital Group,Not Live
1tAikQycLAI,"""Ruto is the most corrupt person in the world,"" Kalonzo Musyoka claims [FULL INTERVIEW]",https://i.ytimg.com/vi/1tAikQycLAI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAHW-8gqLkstyTOYUdh_NOfkzUyNw,0 views,"Kalonzo Musyoka interview with Mulembe, Sulwe and Vuuka Radio Stations",Not Live
DTsnn3YdzUw,"Safaricom Hook Talent Show at Masinde Muliro University, Kakamega",https://i.ytimg.com/vi/DTsnn3YdzUw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDlnEgxbsUpnLLezfyWIeYJbn6eFQ,0 views,,Not Live
pyE6JBOP-Hk,Open University of Kenya 1st Graduation Ceremony,https://i.ytimg.com/vi/pyE6JBOP-Hk/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDD2JuvSoSUNnNEjfnLuhKDFU2COw,0 views,,Not Live
0c_T28GMJHI,Open University of Kenya 1st Graduation Ceremony,https://i.ytimg.com/vi/0c_T28GMJHI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH0BIAC4AOKAgwIABABGBYgZShkMA8=&rs=AOn4CLDGcndUMp7Ga8mehucj8Z5X93-fCQ,0 views,,Not Live
4AiJrJMGxcE,Open University of Kenya 1st Graduation Ceremony,https://i.ytimg.com/vi/4AiJrJMGxcE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAkRZuHizL5PAyx2AC1Qb41LGoOMQ,0 views,,Not Live
